"vial","file","replicate","resp_rate","id","stage","body_length","length_um","weight_ngC","weight_kgC","mass_spec_resp","resp_mL_h","treatment","group","source_cup","sex","date","days","stage_duration"
"Test - A3",11,"R1",0.0111159014642047,"R1_2","c6",0.808,808,3427.3949480465,3.4273949480465e-09,0.151302496164959,0.000518573410982607,"control","backup",2,"F",2022-03-23,10,NA
"Test - A4",11,"R1",0.00766185940305936,"R1_11","c6",0.739,739,2640.97772913679,2.64097772913679e-09,0.135342749916478,0.000357437188329549,"control","active",4,"M",2022-03-23,10,NA
"Test - A5",11,"R1",0.008555483066896,"R1_14","c6",0.746,746,2714.69069924687,2.71469069924687e-09,0.147024509080857,0.00039912606736314,"heatstress","active",3,"M",2022-03-23,10,NA
"Test - A6",11,"R1",0.0102632858333625,"R1_25","c5",0.757,757,2833.23727527471,2.83323727527471e-09,0.168993123920306,0.00047879761795613,"heatstress","active",1,"F",2022-03-23,10,1
"Test - A2",12,"R1",0.00133643881564632,"R1_9","c1",0.299,299,188.054118290914,1.88054118290914e-10,0.331539516455911,6.23473714457125e-05,"heatstress","active",5,NA,2022-03-24,11,NA
"Test - A3",12,"R1",0.00728703532795839,"R1_15","c6",0.752,752,2778.93938106983,2.77893938106983e-09,0.122332223437864,0.000339953833285315,"heatstress","active",3,"M",2022-03-24,11,NA
"Test - A4",12,"R1",0.00778144813853331,"R1_18","c6",0.827,827,3668.08226112941,3.66808226112941e-09,0.098967005149489,0.000363019116025943,"control","active",6,"F",2022-03-24,11,NA
"Test - A5",12,"R1",0.0118227459211387,"R1_23","c5",0.676,676,2035.95104441694,2.03595104441694e-09,0.270906916463796,0.000551553219514236,"heatstress","active",5,"M",2022-03-24,11,2
"Test - A6",12,"R1",0.0113897745983976,"R1_25","c6",0.882,882,4426.81372090209,4.42681372090209e-09,0.120030868848003,0.000531354297148138,"heatstress","active",1,"F",2022-03-24,11,NA
"Test - A2",13,"R1",0.00560109217314446,"R1_1","c6",0.858,858,4084.18926337482,4.08418926337482e-09,0.0639797242808512,0.000261305302981534,"heatstress","active",1,"F",2022-03-25,12,NA
"Test - A3",13,"R1",0.0121839793706255,"R1_4","c6",0.855,855,4042.6303654428,4.0426303654428e-09,0.14060495478652,0.000568413859751697,"control","backup",6,"F",2022-03-25,12,NA
"Test - A2",14,"R1",0.00852694451787895,"R1_22","c6",0.862,862,4140.03673799573,4.14003673799573e-09,0.0960875127058014,0.000397805832664649,"heatstress","backup",5,"F",2022-03-26,13,NA
"Test - A3",14,"R1",0.00990515179649999,"R1_23","c6",0.754,754,2800.57565173304,2.80057565173304e-09,0.165002884379537,0.000462103060459055,"heatstress","active",5,"M",2022-03-26,13,NA
"Test - A3",15,"R1",0.0254259258481917,"R1_17","c6",0.857,857,4070.30523793256,4.07030523793256e-09,0.0497914663926174,0.000202666466462214,"heatstress","backup",3,"F",2022-03-28,15,NA
"Test - A2",16,"R2",0.00300528540093422,"R2_10","c1",0.336,336,264.383086732595,2.64383086732595e-10,0.530295039646645,0.000140201039460764,"heatstress","active",2,NA,2022-04-20,0,2
"Test - B2",16,"R2",0.00146481368017719,"R2_30","c1",0.344,344,283.187207596875,2.83187207596875e-10,0.241309415698264,6.83357395984249e-05,"control","active",1,"M",2022-04-20,0,2
"Test - A3",16,"R2",0.000605092089635736,"R2_16","c1",0.325,325,239.895660946637,2.39895660946637e-10,0.117669685981554,2.82284470919282e-05,"heatstress","active",4,"F",2022-04-20,0,2
